run_id,run_ts,model,window_start,window_end,window_n,model_version,reference_window,metric_kind,feature,value,reference,band,alert
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,is_first_visit,0.0001088832576913458,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,prediction_psi,,0.0013593009541102662,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,class_share,Low,1.0,1.0,info,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,class_share,Medium,0.0,0.0,info,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,class_share,High,0.0,0.0,info,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,gate_fail_rate,,0.0,0.0,ok,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,age,0.021092523506118916,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_ks,age,0.023990610328638584,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,week_of_year,0.012367987530911487,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_ks,week_of_year,0.02514866979655711,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,billed_amount,0.009707971833487584,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_ks,billed_amount,0.02214397496087639,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,log_billed_amount,0.009707971833487584,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_ks,log_billed_amount,0.02214397496087639,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,length_of_stay_hours,0.009018690951574699,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_ks,length_of_stay_hours,0.04264475743348983,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,provider_prior_rejection_rate,0.008762498671859685,0.0,stable,False
